"","mean","sd","5.5%","94.5%"
"z_gl[17]",-0.230225003790258,0.244784924863726,-0.6296356489,0.16605130515
"z_gl[18]",-0.467678725939251,0.325262970316015,-0.99068533595,0.0516205691650002
"z_gl[19]",-0.0249858199606275,0.874173151841407,-1.4287879135,1.376584974
"z_gl[20]",-0.586783368586402,0.339563019370337,-1.11466965,-0.0514460490999997
"z_gl[21]",0.0774796845415364,0.319103434289569,-0.4080757059,0.60440283585
"z_gl[22]",-1.33398191627711,0.686804598866663,-2.418988868,-0.2524600662
"z_gl[23]",-0.0741659866181535,0.539308881967826,-0.95254605975,0.786398143000001
"z_gl[24]",0.161478818977303,0.282644052913037,-0.27276495195,0.62734892295
"z_gl[25]",-0.932469477466475,0.382789022300421,-1.5307491395,-0.310736998099999
"z_gl[26]",0.92107845297075,0.764858838150938,-0.2975836625,2.147635672
"z_gl[27]",1.14337126398428,0.431731239339482,0.4512642076,1.8320620295
"z_gl[28]",0.139707207019602,0.259276540345199,-0.2728545632,0.5545741089
"z_gl[29]",-1.564388348884,0.48786510593574,-2.36867463,-0.81612408635
"z_gl[30]",0.929044954156375,0.481888475770208,0.1411504722,1.68889664
"z_gl[31]",0.482112578475738,0.28685056335335,0.029104338995,0.93838782555
"z_gl[32]",0.745737373557625,0.332842306486571,0.2128964052,1.2726427485
"z_gl[33]",0.332518801266505,0.573090833694979,-0.6049014432,1.2158476245
"z_gl[34]",-0.133294505271584,0.367714826883016,-0.73357566435,0.43286439505
"z_gl[35]",1.8347614130875,0.424858477111132,1.1620209465,2.508708654
"z_gl[36]",0.941710427077625,0.567744531654546,0.01370835987,1.8359352315
"z_gl[37]",-0.193492915985855,0.545312787674243,-1.102375837,0.632896814650001
"z_gl[38]",-0.413247746009883,0.553094919015473,-1.307641969,0.42754021275
"z_gl[39]",-2.11395691103175,0.642929947592266,-3.160504313,-1.0900174145
"z_gl[40]",1.20891126811238,0.542534605725756,0.3431959338,2.0581407245
"rhosq_l",0.745143251389776,0.831028652459596,0.044480370315,2.3228439225
"etasq_l",0.0183535822345577,0.0593573907539087,0.001699081988,0.0483412273200001
"rhosq_p",0.784792159345,0.427767741377121,0.35812720365,1.4773625425
"etasq_p",0.54664550244,0.229250601997216,0.28575772175,0.95005349085
"a_gl[1]",-0.181791817402685,0.0878220438911689,-0.3134796937,-0.0489436588749999
"a_gl[2]",-0.0463215947305345,0.0739628888675541,-0.15165076265,0.05849028757
"a_gl[3]",-0.0154357795709168,0.0721646184525745,-0.11874781235,0.088006476785
"a_gl[4]",0.0181166279056818,0.0650631824729601,-0.06294476973,0.10740781795
"a_gl[5]",-0.0083679511264285,0.0628877513294352,-0.08755918282,0.076703321945
"a_gl[6]",0.0163268762097659,0.0898939266990353,-0.1183292268,0.14961159125
"a_gl[7]",-0.08477630200368,0.0656283028066052,-0.170019145,0.00557288112350005
"a_gl[8]",-0.0330777375603947,0.063194881323732,-0.1114885566,0.05351561952
"a_gl[9]",0.210108778924275,0.0645045075196648,0.12442379725,0.29686636495
"a_gl[10]",-0.0730866885017157,0.0998962577715509,-0.2255302307,0.0783100029000001
"a_gl[11]",0.0413123518471285,0.0744468122414495,-0.067377703605,0.1502738172
"a_gl[12]",0.015186519189106,0.067387315934174,-0.07732587504,0.10661509
"a_gl[13]",-0.0937704472738665,0.093015826171128,-0.2298498908,0.048816319665
"a_gl[14]",0.073752186769657,0.0999731777891056,-0.077141737785,0.22614279625
"a_gl[15]",-0.0092369561140874,0.139339240625354,-0.2208795029,0.2109729249
"a_gl[16]",0.0519047229801635,0.0786750871918027,-0.057322552075,0.16706899825
"a_gl[17]",-0.0235520394057165,0.0635498881108804,-0.1023452821,0.06598360656
"a_gl[18]",-0.0745247499822262,0.0640167392777449,-0.15820300095,0.0131337955950001
"a_gl[19]",0.00593679562605625,0.125814083641037,-0.1934755913,0.2034049397
"a_gl[20]",-0.0810833042798517,0.0641430340211436,-0.16617502635,0.00472275440300009
"a_gl[21]",-0.021750324934032,0.0631825058572305,-0.10106884405,0.0644287289950001
"a_gl[22]",-0.187338400934755,0.102995264989735,-0.34878133165,-0.03537705225
"a_gl[23]",-0.0145283768727213,0.0834716419465462,-0.133570305,0.1114561076
"a_gl[24]",-8.31544255805e-05,0.0622451417447713,-0.0788414913,0.0847219117200001
"a_gl[25]",-0.14238911060025,0.0683123131691426,-0.232428174,-0.0475348156699999
"a_gl[26]",0.0542286365470179,0.112441431049411,-0.1202125348,0.2264615246
"a_gl[27]",0.146002115485365,0.0753953974051815,0.03731497574,0.25557002675
