"","mean","sd","5.5%","94.5%","rhat","ess_bulk"
"s_grid[4]",-0.617836380054575,0.355960797009421,-1.173068507,-0.02197837403,1.01068703051132,409.046882368111
"s_grid[5]",-0.142644655057544,0.340763728917398,-0.66195007205,0.4215772588,1.01168250271553,359.861647011447
"s_grid[6]",1.2461436951125,0.309472705533478,0.7752180491,1.7703042635,1.01474030552751,320.21138578184
"s_grid[7]",0.416932277555951,0.317761938048612,-0.06292679361,0.9466577956,1.00979361428625,366.689313929098
"s_grid[8]",1.2979820809975,0.310257293814344,0.82495076615,1.821062938,1.01634799211941,313.177112149197
"s_grid[9]",0.324219355984115,0.322821147271045,-0.1710690395,0.8637303421,1.01475992941162,337.883284864461
"s_grid[10]",1.4233001233125,0.307887348375009,0.96065858185,1.941158492,1.01394874504633,317.867337559145
"s_grid[11]",-0.38218104719344,0.34287108427106,-0.90353425285,0.18356022085,1.01033274544063,402.632261243119
"s_grid[12]",-0.69200186913651,0.384192106628035,-1.2944966125,-0.0568968884399996,1.01192097919666,381.533644951302
"s_grid[13]",3.2744368403,0.299737948807995,2.823641542,3.774298605,1.014809395475,305.26087852638
"s_grid[14]",-1.36629825378525,0.407867718657416,-2.008234021,-0.71115973545,1.0077282063859,596.449496976622
"s_grid[15]",0.63389609577585,0.317901691259083,0.1425377095,1.1661313305,1.0127699112042,330.561168404565
"s_grid[16]",1.607113455825,0.307145092417077,1.140088145,2.121313013,1.01433566489056,320.877813661068
"s_grid[17]",0.657116339533392,0.313906994720181,0.18851309505,1.183308016,1.013661107669,338.885129450201
"s_grid[18]",1.3687716487775,0.309971327543406,0.8947094192,1.896750821,1.014467427053,325.898517711009
"s_grid[19]",1.7302895631075,0.306272442944802,1.2682830805,2.2401605375,1.01538346326191,317.419481660148
"s_grid[20]",0.577091313343995,0.317688208017205,0.096533112695,1.0963279635,1.01306897488408,346.666924128917
"s_grid[21]",0.365475009233433,0.324101593105342,-0.12497332525,0.92035205925,1.01261649315293,335.821949555522
"s_grid[22]",1.15607181180175,0.310667403071123,0.68558442715,1.682144121,1.01486775406978,320.528536667776
"s_grid[23]",0.7864078043318,0.313777694027426,0.3136306634,1.3120639865,1.01307440702912,339.705016989156
"s_grid[24]",-0.0720797057604782,0.33163540758587,-0.5848815228,0.4902702346,1.01198450399597,380.666757429059
"s_grid[25]",-0.780232355019832,0.365891060475379,-1.3545554265,-0.16746575505,1.0075379020137,499.337102026697
"s_grid[26]",0.0500523664300727,0.330315781310927,-0.45117791815,0.59934004725,1.01224933575086,373.110911942927
"s_grid[27]",1.8010039246475,0.304794884881417,1.345096087,2.3158646085,1.01509252178562,318.903829313372
"s_grid[28]",-0.292562417898321,0.340273121268714,-0.82195050575,0.2682316561,1.01137616976981,409.075246469402
"s_grid[29]",-1.9123135319825,0.466279481325163,-2.6727238995,-1.1762286105,1.00530736678951,780.505802044306
"s_grid[30]",0.892408713644725,0.314834752637541,0.4221973948,1.423677594,1.01467085686231,324.307062125542
"s_grid[31]",1.02625982340325,0.311683525963162,0.56176617195,1.547197592,1.01361300941472,325.510925369871
"s_grid[32]",-1.09162406522678,0.37626857771805,-1.6962211705,-0.50364386215,1.00794887967324,496.119511100326
"s_grid[33]",-0.380747730607015,0.347822602341589,-0.92958148505,0.1983792392,1.01001472195374,406.589290721851
"s_grid[34]",0.485026345238255,0.320967507616269,-0.004531948946,1.0151782445,1.01408898158389,344.532734965633
"s_grid[35]",-0.97716153993822,0.375067955870738,-1.561698756,-0.37721236665,1.01277403332769,463.312596054984
"s_grid[36]",0.483632862039802,0.317881352640021,0.000837704343299976,1.016688344,1.012544904818,349.56830493806
"s_grid[37]",-0.213138583703197,0.342697993405835,-0.7453779019,0.3490693285,1.01080797509473,404.755876541919
"s_grid[38]",2.319729578725,0.302409350252939,1.8686140305,2.825355903,1.01515785431762,306.050064557547
"s_grid[39]",0.31782071093855,0.321882195765574,-0.16710609655,0.846786712,1.01311665561159,342.392658355439
"s_grid[40]",0.764697796722725,0.313348079443339,0.2918244969,1.288556547,1.01386786427374,338.157179198077
