sample_id,focal,minute,timestamp,individual,sex,age,height,nutcracking
2023-07-15_1729_MVI_6307_1,2023-07-15_1729_MVI_6307,1,2023-07-15 17:29:00,Fabiano,male,adult,19,0
2023-07-18_0809_MVI_6313_1,2023-07-18_0809_MVI_6313,1,2023-07-18 08:09:00,Cajuína,female,adult,0,1
2023-07-18_0824_MVI_6319_1,2023-07-18_0824_MVI_6319,1,2023-07-18 08:24:00,Cajuína,female,adult,0,0
2022-10-13_0811_MVI_6987_1,2022-10-13_0811_MVI_6987,1,2022-10-13 08:11:00,Cajuína,female,adult,5,0
2022-10-13_0855_MVI_6998_1,2022-10-13_0855_MVI_6998,1,2022-10-13 08:55:00,Cajuína,female,adult,3,0
2022-10-13_0910_MVI_7001_1,2022-10-13_0910_MVI_7001,1,2022-10-13 09:10:00,Cajuína,female,adult,0.4,1
2022-10-13_0940_MVI_7013_1,2022-10-13_0940_MVI_7013,1,2022-10-13 09:40:00,Cajuína,female,adult,5,0
2022-10-13_0959_MVI_7016_1,2022-10-13_0959_MVI_7016,1,2022-10-13 09:59:00,Cajuína,female,adult,9,0
2022-10-13_1029_MVI_7020_1,2022-10-13_1029_MVI_7020,1,2022-10-13 10:29:00,Cajuína,female,adult,1,1
2022-10-13_1035_MVI_7021_1,2022-10-13_1035_MVI_7021,1,2022-10-13 10:35:00,Cajuína,female,adult,0.3,1
2022-10-13_1426_MVI_7054_1,2022-10-13_1426_MVI_7054,1,2022-10-13 14:26:00,Cajuína,female,adult,0.5,1
2022-10-13_1443_MVI_7058_1,2022-10-13_1443_MVI_7058,1,2022-10-13 14:43:00,Cajuína,female,adult,4,0
2022-10-13_1458_MVI_7061_1,2022-10-13_1458_MVI_7061,1,2022-10-13 14:58:00,Cajuína,female,adult,7,0
2022-10-13_1607_MVI_7070_1,2022-10-13_1607_MVI_7070,1,2022-10-13 16:07:00,Cajuína,female,adult,4,0
2022-10-13_1623_MVI_7074_1,2022-10-13_1623_MVI_7074,1,2022-10-13 16:23:00,Cajuína,female,adult,6,0
2022-10-14_0659_MVI_7015_1,2022-10-14_0659_MVI_7015,1,2022-10-14 06:59:00,Canjica,male,subadult,0,1
2023-07-18_0840_MVI_6324_1,2023-07-18_0840_MVI_6324,1,2023-07-18 08:40:00,Cajuína,female,adult,0.2,1
2023-07-18_0901_MVI_6329_1,2023-07-18_0901_MVI_6329,1,2023-07-18 09:01:00,Cajuína,female,adult,2.5,1
2023-07-18_0917_MVI_6334_1,2023-07-18_0917_MVI_6334,1,2023-07-18 09:17:00,Cajuína,female,adult,1,0
2023-07-18_1035_MVI_6348_1,2023-07-18_1035_MVI_6348,1,2023-07-18 10:35:00,Cajuína,female,adult,0.6,0
2023-07-18_1050_MVI_6351_1,2023-07-18_1050_MVI_6351,1,2023-07-18 10:50:00,Cajuína,female,adult,8,1
2023-07-18_1106_MVI_6356_1,2023-07-18_1106_MVI_6356,1,2023-07-18 11:06:00,Cajuína,female,adult,7.5,0
2023-07-18_1121_MVI_6359_1,2023-07-18_1121_MVI_6359,1,2023-07-18 11:21:00,Cajuína,female,adult,13,0
2023-07-18_1139_MVI_6365_1,2023-07-18_1139_MVI_6365,1,2023-07-18 11:39:00,Cajuína,female,adult,7,0
2023-07-18_1255_MVI_6371_1,2023-07-18_1255_MVI_6371,1,2023-07-18 12:55:00,Cajuína,female,adult,5,0
2023-07-18_1313_MVI_6378_1,2023-07-18_1313_MVI_6378,1,2023-07-18 13:13:00,Cajuína,female,adult,9,0
2023-07-18_1328_MVI_6382_1,2023-07-18_1328_MVI_6382,1,2023-07-18 13:28:00,Cajuína,female,adult,8,0
2023-07-18_1343_MVI_6385_1,2023-07-18_1343_MVI_6385,1,2023-07-18 13:43:00,Cajuína,female,adult,4,1
2023-07-18_1359_MVI_6389_1,2023-07-18_1359_MVI_6389,1,2023-07-18 13:59:00,Cajuína,female,adult,3,0
2023-07-18_1414_MVI_6393_1,2023-07-18_1414_MVI_6393,1,2023-07-18 14:14:00,Cajuína,female,adult,1.5,1
2023-07-26_1212_MVI_6401_1,2023-07-26_1212_MVI_6401,1,2023-07-26 12:12:00,Chicó,male,adult,0.4,1
2023-07-26_1228_MVI_6406_1,2023-07-26_1228_MVI_6406,1,2023-07-26 12:28:00,Chicó,male,adult,6,0
2023-07-26_1245_MVI_6410_1,2023-07-26_1245_MVI_6410,1,2023-07-26 12:45:00,Chicó,male,adult,0.1,1
2023-07-26_1301_MVI_6413_1,2023-07-26_1301_MVI_6413,1,2023-07-26 13:01:00,Chicó,male,adult,8.5,1
2023-07-26_1317_MVI_6416_1,2023-07-26_1317_MVI_6416,1,2023-07-26 13:17:00,Chicó,male,adult,0,1
2023-07-26_1331_MVI_6421_1,2023-07-26_1331_MVI_6421,1,2023-07-26 13:31:00,Chicó,male,adult,8,1
2023-07-26_1409_MVI_6425_1,2023-07-26_1409_MVI_6425,1,2023-07-26 14:09:00,Chicó,male,adult,0,0
2023-07-26_1424_MVI_6428_1,2023-07-26_1424_MVI_6428,1,2023-07-26 14:24:00,Chicó,male,adult,3.5,0
